DATA,Tipologia de Ocorrência,Regional,Ocorrências
23/04/2022,Risco de Desabamento,SR 7,2
23/04/2022,Risco de Desabamento,SR 8,0
23/04/2022,Risco de Desabamento,SR 9,0
23/04/2022,Risco de Desabamento,SR 10,0
23/04/2022,Risco de Desabamento,SR 11,0
23/04/2022,Risco de Desabamento,SR 12,0
23/04/2022,Risco de Deslizamento,SR 1,0
23/04/2022,Risco de Deslizamento,SR 2,0
23/04/2022,Risco de Deslizamento,SR 3,0
23/04/2022,Risco de Deslizamento,SR 4,0
23/04/2022,Risco de Deslizamento,SR 5,0
23/04/2022,Risco de Deslizamento,SR 6,0
23/04/2022,Risco de Deslizamento,SR 7,0
23/04/2022,Risco de Deslizamento,SR 8,0
23/04/2022,Risco de Deslizamento,SR 9,0
23/04/2022,Risco de Deslizamento,SR 10,0
23/04/2022,Risco de Deslizamento,SR 11,0
23/04/2022,Risco de Deslizamento,SR 12,0
23/04/2022,Risco de Inundação,SR 1,0
23/04/2022,Risco de Inundação,SR 2,0
23/04/2022,Risco de Inundação,SR 3,0
23/04/2022,Risco de Inundação,SR 4,0
23/04/2022,Risco de Inundação,SR 5,0
23/04/2022,Risco de Inundação,SR 6,0
23/04/2022,Risco de Inundação,SR 7,0
23/04/2022,Risco de Inundação,SR 8,0
23/04/2022,Risco de Inundação,SR 9,0
23/04/2022,Risco de Inundação,SR 10,0
23/04/2022,Risco de Inundação,SR 11,0
23/04/2022,Risco de Inundação,SR 12,0
23/04/2022,Inundação,SR 1,0
23/04/2022,Inundação,SR 2,0
23/04/2022,Inundação,SR 3,0
23/04/2022,Inundação,SR 4,0
23/04/2022,Inundação,SR 5,0
23/04/2022,Inundação,SR 6,0
23/04/2022,Inundação,SR 7,0
23/04/2022,Inundação,SR 8,0
23/04/2022,Inundação,SR 9,0
23/04/2022,Inundação,SR 10,0
23/04/2022,Inundação,SR 11,0
23/04/2022,Inundação,SR 12,0
23/04/2022,Solapamento,SR 1,0
23/04/2022,Solapamento,SR 2,0
23/04/2022,Solapamento,SR 3,0
23/04/2022,Solapamento,SR 4,0
23/04/2022,Solapamento,SR 5,0
23/04/2022,Solapamento,SR 6,0
23/04/2022,Solapamento,SR 7,0
23/04/2022,Solapamento,SR 8,0
23/04/2022,Solapamento,SR 9,0
23/04/2022,Solapamento,SR 10,0
23/04/2022,Solapamento,SR 11,0
23/04/2022,Solapamento,SR 12,0
