,data,47,311,362,363,364,365,622,720,726,761,883,887,Mês,Ano,Dia,mean,max
9216,2022-03-27,0.0,0.0,11.4,4.2,3.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,3,2022,27,1.7,11.4
9217,2022-03-28,0.0,88.4,59.6,76.6,36.6,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3,2022,28,23.933333333333334,88.4
9218,2022-03-29,0.0,103.8,38.8,99.6,57.4,0.0,0.0,0.0,0.0,0.0,135.8,0.0,3,2022,29,36.28333333333333,135.8
9219,2022-03-30,0.0,54.0,37.4,36.7,33.0,0.0,0.0,0.0,0.0,0.0,37.2,0.0,3,2022,30,16.525000000000002,54.0
9220,2022-03-31,0.0,22.4,28.6,33.2,7.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3,2022,31,9.333333333333334,33.2
9221,2022-04-01,0.0,33.2,35.4,32.2,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,1,11.6,38.4
9222,2022-04-02,0.0,55.0,36.4,48.2,60.2,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4,2022,2,18.316666666666666,60.2
9223,2022-04-03,0.0,0.0,6.2,7.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,3,1.9000000000000001,8.8
9224,2022-04-04,0.0,64.0,47.0,56.1,43.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,2022,4,17.724999999999998,64.0
9225,2022-04-05,0.0,0.0,2.4,1.0,2.4,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4,2022,5,2.4833333333333334,24.0
9226,2022-04-06,0.0,7.0,8.2,2.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,6,2.2916666666666665,9.4
9227,2022-04-07,0.0,18.6,30.4,40.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,4,2022,7,12.233333333333334,40.2
9228,2022-04-08,0.0,42.8,45.0,53.7,27.8,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4,2022,8,17.108333333333334,53.7
9229,2022-04-09,0.0,0.0,4.6,7.8,14.4,0.0,0.0,0.0,0.0,0.0,0.0,18.2,4,2022,9,3.75,18.2
9230,2022-04-10,0.0,0.0,4.0,1.6,1.4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4,2022,10,0.8333333333333334,4.0
9231,2022-04-11,0.0,22.2,15.2,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4,2022,11,4.766666666666667,22.2
9232,2022-04-12,0.0,10.8,13.6,6.5,28.4,0.0,0.0,0.0,0.0,0.0,30.0,0.0,4,2022,12,7.441666666666666,30.0
9233,2022-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,13,0.0,0.0
9234,2022-04-14,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,14,0.016666666666666666,0.2
9235,2022-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,15,0.0,0.0
9236,2022-04-16,0.0,0.0,0.7,5.2,0.6,0.0,0.0,0.0,0.0,0.0,0.2,1.6,4,2022,16,0.6916666666666668,5.2
9237,2022-04-17,0.0,0.0,3.8,4.2,2.8,0.0,0.0,0.0,0.0,0.0,5.5,16.0,4,2022,17,2.6916666666666664,16.0
9238,2022-04-18,0.0,36.0,28.6,12.4,70.4,0.0,0.0,0.0,0.0,0.0,19.2,14.2,4,2022,18,15.066666666666665,70.4
9239,2022-04-19,0.0,11.0,12.7,2.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,12.4,4,2022,19,3.658333333333333,12.7
9240,2022-04-20,0.0,0.0,0.6,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.8,2.2,4,2022,20,1.366666666666667,12.8
9241,2022-04-21,0.0,3.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,1.6,4,2022,21,0.8833333333333333,4.2
9242,2022-04-22,0.0,37.4,35.2,5.2,7.4,0.0,0.0,0.0,0.0,0.0,6.0,4.8,4,2022,22,8.0,37.4
9243,2022-04-23,0.0,59.0,69.2,75.2,75.0,0.0,0.0,0.0,0.0,0.0,52.4,72.0,4,2022,23,33.56666666666666,75.2
9244,2022-04-24,0.0,0.0,11.0,14.8,10.4,0.0,0.0,0.0,0.0,0.0,28.0,18.8,4,2022,24,6.916666666666667,28.0
9245,2022-04-25,0.0,18.0,2.4,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.0,4,2022,25,2.75,18.0
9246,2022-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,4,2022,26,0.08333333333333333,0.8
9247,2022-04-27,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2022,27,0.041666666666666664,0.5
9248,2022-04-28,0.0,6.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4,2022,28,1.3916666666666666,8.0
9249,2022-04-29,0.0,2.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,4,2022,29,0.9666666666666668,5.0
9250,2022-04-30,0.0,6.0,80.8,136.9,0.0,0.0,0.0,0.0,0.0,0.0,4.2,27.8,4,2022,30,21.308333333333334,136.9
9251,2022-05-01,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2022,1,0.03333333333333333,0.4
9252,2022-05-02,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,5,2022,2,0.3,1.8
